pak	blend_modes(mode:count)	opaque_decls	script_dynamic	tint	channel
2nenBgumi Gikotaku Seinsei Gaiden	-	2	0	0	0
A Saga de Ryu	-	0	0	0	0
A Tale of Vengeance	1:2,2:5	0	0	0	0
AA Shadow Gaiden	-	39	0	0	0
Adventure of Nick & Dum-Dum, The	-	0	0	0	0
Airgallet Fighters Wing	5:2	0	0	0	0
Alien vs Predator Aftermath	-	0	0	0	0
Aliens Clash	1:11,6:5	2	0	8	0
Arcaders - The Beat 'Em Up	-1:1,6:2	0	0	0	0
Armored Stronghold	6:2	0	0	0	0
Armored Warriors Cyberbots	-	0	0	0	0
Art Of Figting - Trouble In South Town	-1:5,1:764,2:77,3:42,4:41,5:22,6:12	1655	0	262	0
Art of Fighting - Beats of Rage Remix III	-1:28,1:24,2:5,3:2,4:3,5:1	0	0	0	0
Asterix and Caesars Challenge	-	0	0	0	0
Avengers - United Battle Force	1:2,3:1,6:9	159	0	91	0
Bad Ass Babes Episode One	1:30,5:10,6:5	6	0	92	0
Bad School Girls	1:133,2:2,5:11,6:216	105	0	0	0
Balance of Power	1:8	15	0	0	0
Bare Knuckle - The Next Generation	-	0	0	0	0
Bare Knuckle 6 - Turn The Tide	1:69,2:2,3:2,4:5,5:4,6:14	38	0	0	0
Bare Knuckle VACUUM	1:28,3:1,5:4	30	0	0	0
Barshen Bash	-	0	0	122	0
Barshen Below	-	0	0	34	0
Barshen Border	-	0	0	19	0
Barshen Breakout	-	0	0	31	0
Batman - Savage Dawn	-1:1,6:2	0	0	0	0
Batman Gotham Knights	-	0	0	0	0
Batman Vs. The Teenage Mutant Ninja Turtles	-	0	0	0	0
Battle Arena Toshinden Origin	-1:27,1:20	15	0	0	0
BattleManiacs Bare Knuckle	1:26,2:2,3:1,5:8	0	0	0	0
Battletoads & Double Dragon IV - The Return of the Dark Forces	1:2	4	0	0	0
Battletoads Double Dragon - The T-Bird Mission	1:1	0	0	0	0
Battletoads	1:1	0	0	0	0
Bearz	1:9,6:3	0	0	61	0
Beast and Blanka in the Violent World	-	0	0	0	0
Beat 'Em Up  Ultimate Alliance	-1:1690,1:81,2:9,3:1,4:6,5:2,6:85	0	0	2038	0
Beats Of Rage Xtra	-	0	0	0	0
Beats of Rage - Alliance Super Sayan	-	0	0	0	0
Beats of Rage Remix - Ladies Edition	1:7	0	0	0	0
Beats of Rage Remix - Rhythm of Destruction	-	0	0	0	0
Beats of Rage	-	0	0	0	0
Bird Bunch	2:1,6:2	0	0	62	0
Bishojo Dimensional Chaos	1:25,2:5,3:2,4:2,5:1	0	0	0	0
Bleach	-	0	0	0	0
Blue Bullet Bintang	-	0	0	3	0
Bombeiro Mascarado - Herois Das Ruas	5:2	0	0	0	0
Braller	-	0	0	13	0
Briga de Rua 2 - Vanessa	1:94,2:2,6:1	2	0	0	0
Briga de Rua 3 - Killer Instinct	1:220,6:9	29	1	0	0
Briga de Rua	1:97,2:3,6:1	2	0	0	0
BroomStickBot	-	0	0	13	0
Bruce Lee - Revenge of the Dragon	-1:7,1:33,2:6,3:2,4:2,5:1,6:6	0	0	0	0
Burn Kingdom	-	0	0	0	0
Burning Fox, The	1:83,2:5,3:4,4:1,6:6	1290	2	0	0
Cadillacs & Dinosaurs Warriors	-	0	0	0	0
Capcom Pocket Brawl [Beta]	1:11	1	0	0	0
Captain Commando and the Avengers	1:6	15	0	0	0
CastleVania Pulse Of Animosity	1:2,6:2	0	0	0	0
Castlevania - Symphony of Destruction	-	0	0	0	0
Castlevania Dracula LCD Chronicles Deluxe Edition	1:2,6:1	127	0	0	0
Castlevania Legacy of Dracula	-	0	0	0	0
Castlevania Moonlight Nocturine	3:1	0	0	0	0
Chaotix Rage	-	79	0	0	0
Chaves Streets	-	0	0	0	0
Cherry On Top	1:1,2:1,6:2	0	0	0	0
Chrono Killer	-	0	0	0	0
City of Heroes	-	0	0	0	0
City of Kaos, The	6:1	0	0	0	0
ClaFan - Classic Fantasy Advanced [Alpha Demo]	-1:156,1:4,4:1	0	0	0	0
ClaFan - Classic Fantasy	1:7,6:1	0	0	0	0
Code Name - Sailor V	1:10,2:1,3:2,5:5,6:4	0	0	0	0
Coin Champion	-	0	0	0	0
Contra - Locked 'N Loaded	1:32,6:3	81	0	0	0
Cosmic Damage	-1:165	0	0	0	0
Cowboys Unison	-1:2,6:2	0	0	0	0
Crime Buster	1:1	0	0	0	0
Crisis Evil - Countdown to Oblivion	-	0	0	0	0
Crisis Evil 2 Remake	-	0	0	0	0
Crisis Evil 3 - Santiago Infected	-	0	0	0	0
Crisis Evil 4 - The Night Slashers [Beta]	-1:36,1:5,2:1,5:12,6:11	210	0	0	0
Crisis Evil Bootleg - Resident Evil 2	-1:141,1:11,3:3,4:9,5:1	0	0	0	0
Crisis Evil Remake	-	0	0	0	0
Cyber Robot	-	0	0	2	0
Dante Must Kill	-	0	0	0	0
Darkstalkers	-1:5,1:7,2:1,5:4,6:6	959	0	0	0
Demon's Hand [Demo]	-1:152,1:1,2:1,5:3	0	0	0	0
Denjin Makai Zero	1:3	3	0	0	0
Dojo Crasher	-	0	0	0	0
Doom Ultra-Violence	-	0	0	0	0
Double Dragon - Unleashed	1:10	13	0	0	0
Double Dragon - Zhao Yun	-1:30,1:140,6:2	59	0	38	0
Double Dragon 3 - The Rosetta Stone	-	0	0	0	0
Double Dragon 4	-1:587,1:10,6:2	21	0	0	0
Double Dragon Bangaihen	-	17	0	0	0
Double Dragon Evil Forces Expand	1:3,6:24	1	0	0	0
Double Dragon Extreme	-	0	0	0	0
Double Dragon Gaiden	1:6	0	0	0	0
Double Dragon Genesis	-	0	0	0	0
Double Dragon Gold	-	0	0	0	0
Double Dragon III - Rosetta Stone Remake	-	0	0	0	0
Double Dragon Reloaded Alternate	1:2,6:59	1	0	0	0
Double Dragon Remix	-1:8,1:1,6:32	0	3	0	0
Double Dragon Renegade	-	0	0	0	0
Double Dragon Revival	1:2,6:37	1	0	0	0
Double Dragon Revolution 2	-	0	0	0	0
Double Dragon Revolution	-	0	0	0	0
Double Dragon SNK Final Edition	6:1	1	0	0	0
Double Dragon Zero	-1:1,1:3	0	0	0	0
Dragon Ball Z - Attack of Saiyans	-1:1,1:614,2:55,3:29,4:30,5:25,6:321	196	0	17	0
Dragon Ball Z Gold	-	0	0	0	0
Dragon Ball Z Tournament	1:14,4:2,5:10	0	0	180	0
Dragon Ball	-	0	0	0	0
Dragons of Rage EX	-1:117,1:3	42	0	0	0
Dungeons & Dragons - Knights & Dragons Final Cut	1:1,6:2	7573	0	0	0
Dungeons & Dragons - Knights & Dragons The Endless Quest	1:1,6:2	7573	0	0	0
Dungeons & Dragons - Rise Of Warduke	-1:9,1:40,2:5,3:4,4:3,5:7,6:11	675	0	0	0
Dungeons & Dragons - The Animated Series	1:2,2:2,3:18,4:2,6:40,7:3	27	0	0	0
Dynamic Edge	1:4,5:1	0	0	0	0
Dynasty Assassin	1:1,2:1	213	0	0	0
Ed Edd n Eddy - Nightmare on Ed Street	-	0	0	0	0
Eerie Erratic Expedition	-	0	0	3	0
Egi The Egg	-	0	0	0	0
EightMan	1:12,5:6	0	0	0	0
Einbein - Einvines Weekday	-	17	0	0	0
El Chapulin Colorado	6:22	0	0	0	0
Elfen Lied	-	0	0	0	0
Escape From Cartoon Hell	1:32	35	0	0	0
Escape From Guha	2:1,4:1,6:9	0	0	0	0
Escape of the Ages	1:36,2:7,3:3,4:2,5:2,6:9	26	0	0	0
Eternal Champions - The Thin Strings of Fate	1:157,6:21	28	0	0	0
Evil Dead 2	1:1,4:4	0	0	0	0
Evil Dead	1:7,4:4,6:11	3	0	9	0
Evil Splatter	1:1,4:4	0	0	0	0
Faderhead's Fist Full of Fuck You	-	392	0	0	0
Fatal Fury Final	1:1,3:2,6:1	64	0	0	0
Fatal Fury ReBout	-	0	0	0	0
Fatal fury Rebout 2	2:1	0	0	0	0
Fearless Warriors, The	-	0	0	0	0
Fighters Rage 3 (Napalm Hack)	-	0	0	0	0
Fighting Street	1:1	85	0	0	0
Final Double Dragon	1:23,2:2	0	0	0	0
Final Fantasy 1	-	0	0	0	0
Final Fantasy 7 Advance	-	0	0	0	0
Final Fight & Cadillacs 2	-1:1437,1:108,2:4,3:2,5:2,6:54	9	3	0	0
Final Fight - Heroes	1:2,5:1,6:3	41	0	0	0
Final Fight - Last Round	-	0	0	0	0
Final Fight - Revival of Rage	5:7,6:112	14	1	0	0
Final Fight Alpha	1:2,5:1,6:3	33	0	0	0
Final Fight And Cadillacs	-1:435,1:96,2:1,5:2,6:34	6	3	2	0
Final Fight Apocalypse - 1st Edition	-	0	0	0	0
Final Fight Apocalypse - 2nd Edition	1:1	0	0	0	0
Final Fight Boss	-	0	0	0	0
Final Fight DC Alteration	1:1,6:1	0	0	0	0
Final Fight Gold Champion Edition	-	0	0	0	0
Final Fight Luta	-	0	0	0	0
Final Fight PC - SNES Version	-	0	0	0	0
Final Fight Special Edition	-	0	0	0	0
Final Fight Vs The King of Fighters	-	0	0	0	0
