#levels	sections	uncapped	maxcap	medcap	spawns	maxburst	pak
59	330	0	20	2	2399	97	Teenage Mutant Ninja Turtles - Rescue Palooza!.pak
57	138	0	4	3	919	30	2nenBgumi Gikotaku Seinsei Gaiden.pak
9	32	0	7	4	170	33	A Saga de Ryu.pak
39	118	0	10	4	853	42	A Tale of Vengeance.pak
21	63	0	6	3	388	37	AA Shadow Gaiden.pak
13	34	0	10	4	573	62	Adventure of Nick & Dum-Dum, The.pak
5	24	0	13	9	513	198	Airgallet Fighters Wing.pak
11	32	1	100	4	582	82	Alien vs Predator Aftermath.pak
23	108	8	100	1	916	110	Aliens Clash.pak
47	112	0	6	2	854	81	Arcaders - The Beat 'Em Up.pak
31	47	0	20	6	7005	2	Armored Stronghold.pak
8	0	0	0	0	191	15	Armored Warriors Cyberbots.pak
53	207	0	8	3	1545	180	Art of Fighting - Beats of Rage Remix III.pak
180	856	18	200	3	12031	378	Art Of Figting - Trouble In South Town.pak
15	49	18	100	3	595	170	Asterix and Caesars Challenge.pak
48	134	0	39	3	1888	101	Avengers - United Battle Force.pak
24	70	1	999	4	799	139	Bad Ass Babes Episode One.pak
173	175	0	5	4	1813	41	Bad School Girls.pak
16	91	0	20	5	1600	155	Balance of Power.pak
30	72	25	100	3	1131	120	Bare Knuckle - The Next Generation.pak
146	276	3	100	3	4987	99	Bare Knuckle 6 - Turn The Tide.pak
49	51	9	100	3	1772	176	Bare Knuckle VACUUM.pak
16	47	10	100	1	362	65	Barshen Bash.pak
10	10	2	100	1	183	22	Barshen Below.pak
37	37	0	3	1	434	22	Barshen Border.pak
6	4	0	1	1	124	44	Barshen Breakout.pak
44	100	0	6	2	697	14	Batman - Savage Dawn.pak
1	0	0	0	0	0	0	Batman Gotham Knights.pak
10	3	0	1	1	206	8	Batman Vs. The Teenage Mutant Ninja Turtles.pak
30	158	0	12	5	2183	117	Battle Arena Toshinden Origin.pak
98	443	0	99	4	4635	513	BattleManiacs Bare Knuckle.pak
81	400	0	10	4	3265	503	Battletoads & Double Dragon IV - The Return of the Dark Forces.pak
37	312	0	10	3	1478	503	Battletoads Double Dragon - The T-Bird Mission.pak
78	403	0	99	4	3643	513	Battletoads.pak
16	78	0	8	5	1428	42	Bearz.pak
20	71	1	100	5	811	83	Beast and Blanka in the Violent World.pak
77	160	83	1000	1000	2391	51	Beat 'Em Up  Ultimate Alliance.pak
15	54	22	100	3	383	29	Beats of Rage - Alliance Super Sayan.pak
26	149	8	100	4	1237	75	Beats of Rage Remix - Ladies Edition.pak
1	0	0	0	0	0	0	Beats of Rage Remix - Rhythm of Destruction.pak
1	0	0	0	0	0	0	Beats Of Rage Xtra.pak
1	0	0	0	0	0	0	Beats of Rage.pak
28	61	18	100	1	538	63	Bird Bunch.pak
16	37	0	6	3	1151	145	Bishojo Dimensional Chaos.pak
6	10	4	100	3	43	15	Bleach.pak
11	31	0	6	1	155	47	Blue Bullet Bintang.pak
56	530	28	1000	4	3822	1056	Bombeiro Mascarado - Herois Das Ruas.pak
4	2	0	1	1	24	21	Braller.pak
93	127	0	5	3	922	28	Briga de Rua 2 - Vanessa.pak
23	63	0	4	2	371	48	Briga de Rua 3 - Killer Instinct.pak
96	96	0	5	3	853	69	Briga de Rua.pak
46	14	5	100	2	524	24	BroomStickBot.pak
21	51	8	100	3	431	56	Bruce Lee - Revenge of the Dragon.pak
37	108	26	100	4	1853	298	Burn Kingdom.pak
19	55	0	4	4	332	21	Burning Fox, The.pak
1	0	0	0	0	0	0	Cadillacs & Dinosaurs Warriors.pak
7	0	0	0	0	17	9	Capcom Pocket Brawl [Beta].pak
22	125	0	20	5	1865	155	Captain Commando and the Avengers.pak
12	20	8	100	3	139	19	Castlevania - Symphony of Destruction.pak
211	520	2	100	3	5964	249	Castlevania Dracula LCD Chronicles Deluxe Edition.pak
12	4	0	99	10	566	74	Castlevania Legacy of Dracula.pak
13	40	0	5	4	301	46	Castlevania Moonlight Nocturine.pak
4	7	0	10	5	110	46	CastleVania Pulse Of Animosity.pak
19	55	18	100	15	1555	169	Chaotix Rage.pak
2	1	0	3	3	18	14	Chaves Streets.pak
90	10	4	100	1	1063	24	Cherry On Top.pak
25	60	8	100	5	909	228	Chrono Killer.pak
22	124	0	8	4	941	75	City of Heroes.pak
37	109	2	100	3	1086	260	City of Kaos, The.pak
43	10	0	4	4	804	48	ClaFan - Classic Fantasy Advanced [Alpha Demo].pak
84	119	0	11	4	1559	62	ClaFan - Classic Fantasy.pak
42	153	0	9	5	1153	41	Code Name - Sailor V.pak
5	0	0	0	0	39	20	Coin Champion.pak
116	657	74	100	1	6031	195	Contra - Locked 'N Loaded.pak
35	116	0	16	4	1479	101	Cosmic Damage.pak
44	83	0	10	4	2378	58	Cowboys Unison.pak
120	746	255	100	3	5562	122	Crime Buster.pak
25	97	44	100	3	499	36	Crisis Evil - Countdown to Oblivion.pak
18	71	20	100	3	598	50	Crisis Evil 2 Remake.pak
23	105	24	100	3	738	50	Crisis Evil 3 - Santiago Infected.pak
81	36	2	100	3	2669	43	Crisis Evil 4 - The Night Slashers [Beta].pak
536	256	0	18	4	8412	86	Crisis Evil Bootleg - Resident Evil 2.pak
12	47	15	100	4	336	37	Crisis Evil Remake.pak
6	17	3	100	1	131	37	Cyber Robot.pak
31	59	20	100	4	769	203	Dante Must Kill.pak
17	90	0	5	3	466	64	Darkstalkers.pak
11	48	13	100	7	620	96	Demon's Hand [Demo].pak
19	68	18	100	5	627	39	Denjin Makai Zero.pak
26	27	13	100	3	456	127	Dojo Crasher.pak
51	22	0	20	5	2730	118	Doom Ultra-Violence.pak
51	188	6	100	4	1206	49	Double Dragon - Unleashed.pak
126	416	3	100	2	3242	80	Double Dragon - Zhao Yun.pak
16	36	0	6	4	266	30	Double Dragon 3 - The Rosetta Stone.pak
26	15	0	4	3	1024	32	Double Dragon 4.pak
25	81	0	3	3	474	31	Double Dragon Bangaihen.pak
52	169	47	100	4	995	50	Double Dragon Evil Forces Expand.pak
102	359	0	5	4	1849	60	Double Dragon Extreme.pak
26	118	0	4	4	903	60	Double Dragon Gaiden.pak
73	222	0	12	3	1574	107	Double Dragon Genesis.pak
26	76	0	8	3	424	54	Double Dragon Gold.pak
13	53	0	5	4	315	48	Double Dragon III - Rosetta Stone Remake.pak
72	344	0	12	1	1684	95	Double Dragon Reloaded Alternate.pak
153	728	0	60	1	4736	91	Double Dragon Remix.pak
31	96	0	5	4	757	25	Double Dragon Renegade.pak
39	297	0	12	1	1452	95	Double Dragon Revival.pak
31	140	0	5	4	1152	51	Double Dragon Revolution 2.pak
35	61	26	100	4	640	28	Double Dragon Revolution.pak
54	131	0	5	3	698	11	Double Dragon SNK Final Edition.pak
1	0	0	0	0	0	0	Double Dragon Zero.pak
129	338	0	13	3	4647	177	Dragon Ball Z - Attack of Saiyans.pak
2	9	0	6	4	181	152	Dragon Ball Z Gold.pak
17	36	0	6	1	206	59	Dragon Ball Z Tournament.pak
2	9	0	6	4	181	152	Dragon Ball.pak
34	112	21	100	5	2931	204	Dragons of Rage EX.pak
148	271	1	999	4	7575	140	Dungeons & Dragons - Knights & Dragons Final Cut.pak
148	271	1	999	4	7575	140	Dungeons & Dragons - Knights & Dragons The Endless Quest.pak
527	1563	278	100	1	14684	237	Dungeons & Dragons - Rise Of Warduke.pak
152	322	0	99	3	3919	50	Dungeons & Dragons - The Animated Series.pak
39	98	3	100	4	690	67	Dynamic Edge.pak
16	43	0	7	5	318	45	Dynasty Assassin.pak
25	70	13	100	4	814	41	Ed Edd n Eddy - Nightmare on Ed Street.pak
4	2	0	1	1	20	14	Eerie Erratic Expedition.pak
2	1	0	1	1	14	15	Egi The Egg.pak
14	43	0	15	4	789	51	EightMan.pak
132	449	0	12	3	2260	60	Einbein - Einvines Weekday.pak
32	227	0	22	3	3947	266	El Chapulin Colorado.pak
16	7	0	4	4	155	27	Elfen Lied.pak
12	38	0	50	6	687	69	Escape From Cartoon Hell.pak
54	6	3	100	100	664	24	Escape From Guha.pak
26	18	6	100	4	194	21	Escape of the Ages.pak
164	1326	0	6	3	8690	186	Eternal Champions - The Thin Strings of Fate.pak
10	22	1	100	3	146	33	Evil Dead 2.pak
17	53	1	100	3	342	33	Evil Dead.pak
9	19	0	4	3	134	32	Evil Splatter.pak
2	0	0	0	0	0	0	Faderhead's Fist Full of Fuck You.pak
63	23	0	3	3	1058	30	Fatal Fury Final.pak
40	115	33	100	4	1068	40	Fatal fury Rebout 2.pak
106	322	148	100	3	2392	25	Fatal Fury ReBout.pak
54	175	0	8	4	2489	46	Fearless Warriors, The.pak
45	128	58	500	6	2103	67	Fighters Rage 3 (Napalm Hack).pak
40	37	0	24	3	877	47	Fighting Street.pak
69	445	0	4	3	2526	65	Final Double Dragon.pak
15	26	0	6	5	530	65	Final Fantasy 1.pak
27	80	31	100	3	1237	186	Final Fantasy 7 Advance.pak
39	36	0	6	3	5631	583	Final Fight - Heroes.pak
128	379	0	10	5	4516	66	Final Fight - Last Round.pak
32	128	20	100	3	2042	328	Final Fight - Revival of Rage.pak
47	81	12	300	2	694	33	Final Fight & Cadillacs 2.pak
38	36	0	3	3	1479	44	Final Fight Alpha.pak
26	124	20	300	2	1346	72	Final Fight And Cadillacs.pak
22	66	0	8	5	737	98	Final Fight Apocalypse - 1st Edition.pak
41	130	0	8	5	1697	98	Final Fight Apocalypse - 2nd Edition.pak
32	74	0	8	6	2268	144	Final Fight Boss.pak
239	412	0	32	5	26817	338	Final Fight DC Alteration.pak
32	61	0	9	4	1241	83	Final Fight Gold Champion Edition.pak
33	24	0	4	3	956	222	Final Fight Luta.pak
34	345	0	6	3	1137	35	Final Fight PC - SNES Version.pak
198	618	0	10	5	7327	87	Final Fight Special Edition.pak
16	51	24	100	3	381	21	Final Fight Vs The King of Fighters.pak
22	17	6	100	5	319	26	Final fight X.pak
22	93	0	12	5	1118	86	Final Rage Chaos.pak
43	288	0	6	4	4120	559	Fire Emblem - Castle Defense.pak
32	2	0	3	3	498	122	Fire Hearts.pak
59	0	0	0	0	899	45	Fire Leaf Water.pak
23	85	1	100	6	895	65	First Fight.pak
24	77	1	100	2	522	45	Fists of Legendary Heroes.pak
4	3	0	2	1	55	47	Fruits Frenzy.pak
5	9	0	4	1	52	47	Fruits Survivors.pak
57	207	0	8	3	1551	180	Garou - Rage of the Wolves.pak
1	0	0	0	0	0	0	GG' Girls.pak
4	10	2	100	6	117	26	Ghouls 'N Ghosts Returns.pak
93	307	54	100	2	3209	112	GI Joe - Attack On Cobra Island.pak
1	0	0	0	0	0	0	Girls Special II, The.pak
1	0	0	0	0	0	0	Girls Special III, The.pak
1	0	0	0	0	0	0	Girls Special, The.pak
8	1	0	1	1	65	15	Go Bat.pak
6	16	0	8	4	159	27	God Of War - Ragnarok.pak
15	12	0	6	6	783	84	God of War.pak
