pak	sprite_px_upper	images	skipped
2nenBgumi Gikotaku Seinsei Gaiden	62785112	1825	0
A Saga de Ryu	186270805	6350	0
A Tale of Vengeance	103885509	4472	0
AA Shadow Gaiden	81521824	2388	0
Adventure of Nick & Dum-Dum, The	31811974	1658	0
Airgallet Fighters Wing	12655546	388	0
Alien vs Predator Aftermath	96894516	1363	0
Aliens Clash	41026418	403	0
Arcaders - The Beat 'Em Up	10001691	571	0
Armored Stronghold	15096895	1212	0
Armored Warriors Cyberbots	40735802	568	0
Art Of Figting - Trouble In South Town	4169695866	53360	0
Art of Fighting - Beats of Rage Remix III	264991358	4075	0
Asterix and Caesars Challenge	63781573	652	0
Avengers - United Battle Force	463444578	7260	0
Bad Ass Babes Episode One	288833377	2138	0
Bad School Girls	353358467	6121	0
Balance of Power	101033102	2579	0
Bare Knuckle - The Next Generation	75924969	3554	0
Bare Knuckle 6 - Turn The Tide	202151915	8254	0
Bare Knuckle VACUUM	73200208	3660	0
Barshen Bash	17065160	190	0
Barshen Below	14784460	195	0
Barshen Border	15866140	193	0
Barshen Breakout	14349504	186	0
Batman - Savage Dawn	10427178	567	0
Batman Gotham Knights	29581664	1357	0
Batman Vs. The Teenage Mutant Ninja Turtles	20348710	608	0
Battle Arena Toshinden Origin	138480181	3800	0
BattleManiacs Bare Knuckle	207324999	6364	0
Battletoads & Double Dragon IV - The Return of the Dark Forces	91284124	2585	0
Battletoads Double Dragon - The T-Bird Mission	74682191	2268	0
Battletoads	94430783	1700	0
Bearz	54376660	972	0
Beast and Blanka in the Violent World	30367257	572	0
Beat 'Em Up  Ultimate Alliance	1315275173	11855	0
Beats Of Rage Xtra	90707738	3231	0
Beats of Rage - Alliance Super Sayan	42955067	2414	0
Beats of Rage Remix - Ladies Edition	52248067	2616	0
Beats of Rage Remix - Rhythm of Destruction	94964443	2736	0
Beats of Rage	28261310	1608	0
Bird Bunch	8107748	130	0
Bishojo Dimensional Chaos	86226503	3148	0
Bleach	31178469	425	0
Blue Bullet Bintang	6277285	107	0
Bombeiro Mascarado - Herois Das Ruas	87871648	2134	0
Braller	3583464	44	0
Briga de Rua 2 - Vanessa	360313983	15626	0
Briga de Rua 3 - Killer Instinct	532760226	11605	0
Briga de Rua	403370714	16850	0
BroomStickBot	15893440	242	0
Bruce Lee - Revenge of the Dragon	250481133	6781	0
Burn Kingdom	169056486	6257	0
Burning Fox, The	261814425	4797	0
Cadillacs & Dinosaurs Warriors	90173401	1217	0
Capcom Pocket Brawl [Beta]	42879469	581	0
Captain Commando and the Avengers	148515046	3254	0
CastleVania Pulse Of Animosity	51413067	1230	0
Castlevania - Symphony of Destruction	10454529	590	0
Castlevania Dracula LCD Chronicles Deluxe Edition	378073919	5286	0
Castlevania Legacy of Dracula	190794325	2333	0
Castlevania Moonlight Nocturine	136940227	2129	0
Chaotix Rage	75015639	2561	0
Chaves Streets	3258415	239	0
Cherry On Top	27070976	346	0
Chrono Killer	26314436	805	0
City of Heroes	212656188	3171	0
City of Kaos, The	343309303	5098	4
ClaFan - Classic Fantasy Advanced [Alpha Demo]	58785340	1663	0
ClaFan - Classic Fantasy	74176723	2275	0
Code Name - Sailor V	82318283	2016	0
Coin Champion	5098854	49	0
Contra - Locked 'N Loaded	55886316	3382	0
Cosmic Damage	164063485	3279	0
Cowboys Unison	133512452	1177	0
Crime Buster	85398497	4839	0
Crisis Evil - Countdown to Oblivion	153637542	2494	0
Crisis Evil 2 Remake	78873101	1835	2
Crisis Evil 3 - Santiago Infected	78269966	1686	2
Crisis Evil 4 - The Night Slashers [Beta]	168428437	6367	0
Crisis Evil Bootleg - Resident Evil 2	1151569663	21731	0
Crisis Evil Remake	63902078	865	0
Cyber Robot	8782060	118	0
Dante Must Kill	61608935	1198	0
Darkstalkers	412073649	4519	0
Demon's Hand [Demo]	489177560	3673	0
Denjin Makai Zero	93657057	3281	0
Dojo Crasher	40101749	2062	0
Doom Ultra-Violence	30332916	1086	0
Double Dragon - Unleashed	58618919	1700	0
Double Dragon - Zhao Yun	419530242	9161	0
Double Dragon 3 - The Rosetta Stone	33546883	515	0
Double Dragon 4	337486710	10043	0
Double Dragon Bangaihen	108794036	3731	0
Double Dragon Evil Forces Expand	31064132	1304	0
Double Dragon Extreme	38889276	857	0
Double Dragon Gaiden	154138434	4858	0
Double Dragon Genesis	63503762	4212	0
Double Dragon Gold	252018717	1817	0
Double Dragon III - Rosetta Stone Remake	41169607	1215	0
Double Dragon Reloaded Alternate	275665346	4644	0
Double Dragon Remix	73683431	3265	0
Double Dragon Renegade	41089501	1119	0
Double Dragon Revival	203426707	3271	0
Double Dragon Revolution 2	67447903	2519	0
Double Dragon Revolution	17327364	937	0
Double Dragon SNK Final Edition	43382229	1624	0
Double Dragon Zero	258881163	5783	0
Dragon Ball Z - Attack of Saiyans	1287529286	11994	0
Dragon Ball Z Gold	6319412	394	0
Dragon Ball Z Tournament	516585307	2547	0
Dragon Ball	6901283	406	0
Dragons of Rage EX	142140290	2769	0
Dungeons & Dragons - Knights & Dragons Final Cut	1144530666	6990	0
Dungeons & Dragons - Knights & Dragons The Endless Quest	1144530666	6990	0
Dungeons & Dragons - Rise Of Warduke	1324625354	20569	0
Dungeons & Dragons - The Animated Series	376106258	3224	0
Dynamic Edge	115940319	8315	0
Dynasty Assassin	200024070	2249	0
Ed Edd n Eddy - Nightmare on Ed Street	45154482	1776	0
Eerie Erratic Expedition	9802114	86	0
Egi The Egg	4498124	86	0
EightMan	46575705	2083	0
Einbein - Einvines Weekday	99657315	3397	0
El Chapulin Colorado	166708139	1954	0
Elfen Lied	18713072	641	0
Escape From Cartoon Hell	129557076	885	0
Escape From Guha	32641554	221	0
Escape of the Ages	414132347	7212	0
Eternal Champions - The Thin Strings of Fate	892703853	13716	0
Evil Dead 2	72794454	990	0
Evil Dead	84015002	1900	0
Evil Splatter	68389117	917	0
Faderhead's Fist Full of Fuck You	368550278	1400	0
Fatal Fury Final	119503987	1693	0
Fatal Fury ReBout	15670586	976	0
Fatal fury Rebout 2	86403240	1647	0
Fearless Warriors, The	46449233	1227	0
Fighters Rage 3 (Napalm Hack)	174650318	4563	1
Fighting Street	272625418	2288	0
Final Double Dragon	139342421	5262	0
Final Fantasy 1	9986671	344	0
Final Fantasy 7 Advance	52619288	1951	0
Final Fight & Cadillacs 2	482011688	9545	0
Final Fight - Heroes	165938429	3057	0
Final Fight - Last Round	75714752	1450	0
Final Fight - Revival of Rage	198744762	9066	0
Final Fight Alpha	149242012	2715	0
Final Fight And Cadillacs	602812159	7236	0
Final Fight Apocalypse - 1st Edition	41865549	762	0
Final Fight Apocalypse - 2nd Edition	69595507	1345	0
Final Fight Boss	868516952	5826	0
Final Fight DC Alteration	177430521	3195	0
Final Fight Gold Champion Edition	551793782	3699	0
Final Fight Luta	46142918	1185	0
Final Fight PC - SNES Version	102469244	1886	0
Final Fight Special Edition	57974739	1780	0
Final Fight Vs The King of Fighters	16507652	1011	0
Final Rage Chaos	33308302	922	0
Final fight X	61023902	1519	0
Fire Emblem - Castle Defense	33166900	1592	0
Fire Hearts	154508450	2203	0
Fire Leaf Water	12414314	148	0
First Fight	32100767	756	0
Fists of Legendary Heroes	178570632	3800	0
Fruits Frenzy	4240976	67	0
Fruits Survivors	9834379	216	0
GG' Girls	228965964	5201	0
GI Joe - Attack On Cobra Island	251440225	4447	0
Garou - Rage of the Wolves	319314209	5968	0
Ghouls 'N Ghosts Returns	13091637	625	0
Girls Special II, The	233017013	6096	0
Girls Special III, The	214385515	5283	0
Girls Special, The	207952612	6370	0
Go Bat	5951139	75	0
God Of War - Ragnarok	32902761	491	0
God of War	81129646	3832	0
Godzilla - Ultraman - Gamera! All Out Monster War!	130614490	3432	0
Golden Axe Curse of Death Adder	520803384	7753	0
Golden Axe Genesis	98151858	1974	0
Golden Axe Legend	464500992	3057	0
Golden Axe Myth	277247052	6273	0
Golden Axe Remake - Special Edition	45649778	1812	0
Golden Axe Returns	1767904340	6589	0
Guardian Heroes Warpath	955198430	10929	0
Guardians of the Hood II	523146644	10245	0
Guardians of the Requiem - The Warriors of God	42264286	691	0
Gudule - Fist in ya Face!	73469997	1468	0
Gudule	62467884	1285	0
Guilty Gear - The Crusades	71262998	2591	0
Gunman	4701029	121	0
Gunslingers Unison	178799932	1933	0
Gunstar Heroes Z	46464005	1123	0
Halloween - The Wrath of Michael Myers	103345798	1735	0
Happy Heart	6933112	49	0
Hatchet Ninjaz	894479648	2835	1
He-Man and the Masters of the Universe	417653175	3716	0
Head Hunters	85427266	1994	0
Heaven's Anime Girls	62354484	3398	0
Hentai City	100713492	926	0
Hiryu No Ken [Demo]	204199842	2686	1
Hokuto no Ken Fury Road	124557131	3414	0
Honeybee Harvest	3676784	71	0
Hulk vs. Streets of Rage	44668754	1514	0
Hyper Final Fight 1	61152642	1375	0
Hyper Final Fight 2	58221980	1262	0
Hyper Final Fight 3 - Return of the Black	132262683	2966	0
Ikari Warriors 2010 + Mutation Nation	90411203	1355	0
Immortal Monster	3925435	64	0
Infinity Beat 'Em Up	2003427815	21065	1
Jaspion	173655126	3852	0
Joe and Mac - Caveman Ninja	20935028	533	0
Joker	7984020	259	0
Justice League Legacy	3009964947	17361	0
Justice League United	272767021	5509	0
Kill Bill - Volume 1	7474256	442	0
Kill Ryu 1	43602072	1238	0
Kill Ryu 2	73126886	2028	0
Kill Ryu Turbo	74600241	2839	0
