width	height	mode	source	pak
320	240	0	no video.txt	2nenBgumi Gikotaku Seinsei Gaiden
480	272	1	mode 1	A Saga de Ryu
320	240	0	no video.txt	A Tale of Vengeance
320	240	0	no video.txt	AA Shadow Gaiden
320	240	0	no video.txt	Adventure of Nick & Dum-Dum, The
320	240	0	no video.txt	Airgallet Fighters Wing
320	240	0	no video.txt	Alien vs Predator Aftermath
640	480	2	mode 2	Aliens Clash
320	240	0	mode 0	Arcaders - The Beat 'Em Up
320	240	0	mode 0	Armored Stronghold
320	240	0	no video.txt	Armored Warriors Cyberbots
480	272	1	mode 1	Art Of Figting - Trouble In South Town
480	272	1	mode 1	Art of Fighting - Beats of Rage Remix III
320	240	0	no video.txt	Asterix and Caesars Challenge
480	272	1	mode 1	Avengers - United Battle Force
960	480	255	mode 255	Bad Ass Babes Episode One
480	272	1	mode 1	Bad School Girls
320	240	0	no video.txt	Balance of Power
320	240	0	no video.txt	Bare Knuckle - The Next Generation
320	240	0	mode 0	Bare Knuckle 6 - Turn The Tide
320	240	0	no video.txt	Bare Knuckle VACUUM
640	480	2	mode 2	Barshen Bash
640	480	2	mode 2	Barshen Below
640	480	2	mode 2	Barshen Border
640	480	2	mode 2	Barshen Breakout
320	240	0	mode 0	Batman - Savage Dawn
320	240	0	no video.txt	Batman Gotham Knights
320	240	0	mode 0	Batman Vs. The Teenage Mutant Ninja Turtles
320	240	0	mode 0	Battle Arena Toshinden Origin
480	272	1	mode 1	BattleManiacs Bare Knuckle
320	240	0	mode 0	Battletoads & Double Dragon IV - The Return of the Dark Forces
320	240	0	mode 0	Battletoads Double Dragon - The T-Bird Mission
320	240	0	no video.txt	Battletoads
640	360	255	mode 255	Bearz
320	240	0	no video.txt	Beast and Blanka in the Violent World
480	272	1	mode 1	Beat 'Em Up  Ultimate Alliance
320	240	0	no video.txt	Beats Of Rage Xtra
320	240	0	no video.txt	Beats of Rage - Alliance Super Sayan
320	240	0	no video.txt	Beats of Rage Remix - Ladies Edition
320	240	0	no video.txt	Beats of Rage Remix - Rhythm of Destruction
320	240	0	no video.txt	Beats of Rage
640	480	2	mode 2	Bird Bunch
480	272	1	mode 1	Bishojo Dimensional Chaos
320	240	0	mode 0	Bleach
640	480	2	mode 2	Blue Bullet Bintang
320	240	0	mode 0	Bombeiro Mascarado - Herois Das Ruas
640	480	2	mode 2	Braller
480	272	1	mode 1	Briga de Rua 2 - Vanessa
480	272	1	mode 1	Briga de Rua 3 - Killer Instinct
480	272	1	mode 1	Briga de Rua
640	480	2	mode 2	BroomStickBot
320	240	0	mode 0	Bruce Lee - Revenge of the Dragon
320	240	0	no video.txt	Burn Kingdom
480	272	1	mode 1	Burning Fox, The
320	240	0	mode 0	Cadillacs & Dinosaurs Warriors
480	272	1	mode 1	Capcom Pocket Brawl [Beta]
320	240	0	no video.txt	Captain Commando and the Avengers
320	240	0	mode 0	CastleVania Pulse Of Animosity
320	240	0	no video.txt	Castlevania - Symphony of Destruction
320	240	0	mode 0	Castlevania Dracula LCD Chronicles Deluxe Edition
320	240	0	mode 0	Castlevania Legacy of Dracula
320	240	0	mode 0	Castlevania Moonlight Nocturine
320	240	0	mode 0	Chaotix Rage
320	240	0	no video.txt	Chaves Streets
640	480	2	mode 2	Cherry On Top
